date,compute_type,customer_segment,compute_hours
2023-07-01,GPU Training,Enterprise,9037
2023-07-01,GPU Training,Mid-Market,3113
2023-07-01,GPU Training,Startup,1465
2023-07-01,GPU Training,Research/Academic,2567
2023-07-01,GPU Inference,Enterprise,4955
2023-07-01,GPU Inference,Mid-Market,2139
2023-07-01,GPU Inference,Startup,1496
2023-07-01,GPU Inference,Research/Academic,783
2023-07-01,CPU Batch,Enterprise,3903
2023-07-01,CPU Batch,Mid-Market,1840
2023-07-01,CPU Batch,Startup,579
2023-07-01,CPU Batch,Research/Academic,1039
2023-07-01,CPU Interactive,Enterprise,2163
2023-07-01,CPU Interactive,Mid-Market,1167
2023-07-01,CPU Interactive,Startup,685
2023-07-01,CPU Interactive,Research/Academic,1259
2023-07-02,GPU Training,Enterprise,8500
2023-07-02,GPU Training,Mid-Market,2938
2023-07-02,GPU Training,Startup,1397
2023-07-02,GPU Training,Research/Academic,2224
2023-07-02,GPU Inference,Enterprise,4806
2023-07-02,GPU Inference,Mid-Market,2020
2023-07-02,GPU Inference,Startup,1543
2023-07-02,GPU Inference,Research/Academic,717
2023-07-02,CPU Batch,Enterprise,3292
2023-07-02,CPU Batch,Mid-Market,1634
2023-07-02,CPU Batch,Startup,476
2023-07-02,CPU Batch,Research/Academic,862
2023-07-02,CPU Interactive,Enterprise,1892
2023-07-02,CPU Interactive,Mid-Market,959
2023-07-02,CPU Interactive,Startup,722
2023-07-02,CPU Interactive,Research/Academic,1125
2023-07-03,GPU Training,Enterprise,10949
2023-07-03,GPU Training,Mid-Market,3960
2023-07-03,GPU Training,Startup,1807
2023-07-03,GPU Training,Research/Academic,3259
2023-07-03,GPU Inference,Enterprise,7422
2023-07-03,GPU Inference,Mid-Market,3078
2023-07-03,GPU Inference,Startup,1860
2023-07-03,GPU Inference,Research/Academic,1177
2023-07-03,CPU Batch,Enterprise,5867
2023-07-03,CPU Batch,Mid-Market,2958
2023-07-03,CPU Batch,Startup,701
2023-07-03,CPU Batch,Research/Academic,1450
2023-07-03,CPU Interactive,Enterprise,3741
2023-07-03,CPU Interactive,Mid-Market,1891
2023-07-03,CPU Interactive,Startup,1241
2023-07-03,CPU Interactive,Research/Academic,2368
2023-07-04,GPU Training,Enterprise,6636
2023-07-04,GPU Training,Mid-Market,2656
2023-07-04,GPU Training,Startup,1370
2023-07-04,GPU Training,Research/Academic,1645
2023-07-04,GPU Inference,Enterprise,4067
2023-07-04,GPU Inference,Mid-Market,2014
2023-07-04,GPU Inference,Startup,1532
2023-07-04,GPU Inference,Research/Academic,557
