date,holiday_name
2023-01-01,New Year's Day
2023-01-16,MLK Day
2023-02-20,Presidents' Day
2023-05-29,Memorial Day
2023-07-04,Independence Day
2023-09-04,Labor Day
2023-10-09,Columbus Day
2023-11-11,Veterans Day
2023-11-23,Thanksgiving
2023-11-24,Day After Thanksgiving
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-01-15,MLK Day
2024-02-19,Presidents' Day
2024-05-27,Memorial Day
2024-07-04,Independence Day
2024-09-02,Labor Day
2024-10-14,Columbus Day
2024-11-11,Veterans Day
2024-11-28,Thanksgiving
2024-11-29,Day After Thanksgiving
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-01-20,MLK Day
2025-02-17,Presidents' Day
2025-05-26,Memorial Day
2025-07-04,Independence Day
2025-09-01,Labor Day
2025-10-13,Columbus Day
2025-11-11,Veterans Day
2025-11-27,Thanksgiving
2025-11-28,Day After Thanksgiving
2025-12-25,Christmas Day
2026-01-01,New Year's Day
2026-01-19,MLK Day
2026-02-16,Presidents' Day
2026-05-25,Memorial Day
2026-07-04,Independence Day
2026-09-07,Labor Day
2026-10-12,Columbus Day
2026-11-11,Veterans Day
2026-11-26,Thanksgiving
2026-11-27,Day After Thanksgiving
2026-12-25,Christmas Day
2027-01-01,New Year's Day
2027-01-18,MLK Day
2027-02-15,Presidents' Day
2027-05-31,Memorial Day
2027-07-04,Independence Day
2027-09-06,Labor Day
2027-10-11,Columbus Day
2027-11-11,Veterans Day
2027-11-25,Thanksgiving
2027-11-26,Day After Thanksgiving
2027-12-25,Christmas Day
